"Date","Total","Men, 20 years and over","Women, 20 years and over","16 to 19 years old","White","Black or African American","Asian","Hispanic or Latino",
"Nov 2019","3.6","3.2","3.3","12.0","3.2","5.6","2.6","4.3",
"Dec 2019","3.6","3.2","3.3","12.6","3.2","6.0","2.6","4.2",
"Jan 2020","3.5","3.2","3.2","12.3","3.1","6.3","3.0","4.3",
"Feb 2020","3.5","3.2","3.1","11.4","3.0","6.0","2.6","4.4",
"Mar 2020","4.4","4.1","4.0","14.1","3.9","6.8","4.2","6.0",
"Apr 2020","14.7","13.0","15.5","32.7","14.1","16.6","14.5","18.8",
"May 2020","13.2","11.6","13.8","30.4","12.3","16.8","14.9","17.6",
"Jun 2020","11.0","10.1","11.2","22.4","10.0","15.4","13.7","14.5",
"Jul 2020","10.2","9.3","10.5","19.2","9.2","14.4","11.9","12.8",
"Aug 2020","8.4","7.9","8.3","16.6","7.4","12.8","10.6","10.6",
"Sep 2020","7.9","7.4","7.8","16.0","7.0","12.1","8.9","10.4",
"Oct 2020","6.9","6.7","6.5","13.8","6.0","10.9","7.5","8.9",
"Nov 2020","6.7","6.6","6.2","13.8","5.9","10.4","6.7","8.6",
"Dec 2020","6.7","6.4","6.3","15.8","6.1","10.0","6.0","9.3",
"Jan 2021","6.3","6.1","6.0","14.7","5.7","9.2","6.6","8.5",
"Feb 2021","6.2","6.0","5.9","14.0","5.6","9.8","5.2","8.4",
"Mar 2021","6.1","5.9","5.7","12.8","5.4","9.6","6.0","7.7",
"Apr 2021","6.1","6.0","5.6","11.7","5.3","9.9","5.7","7.7",
"May 2021","5.8","5.9","5.3","9.7","5.1","9.1","5.6","7.1",
"Jun 2021","5.9","5.9","5.5","11.2","5.2","9.2","5.7","7.2",
"Jul 2021","5.4","5.4","5.0","10.6","4.8","8.2","5.2","6.4",
"Aug 2021","5.2","5.1","4.8","11.4","4.5","8.6","4.5","6.1",
"Sep 2021","4.8","4.7","4.3","11.2","4.2","7.8","4.2","6.2",
"Oct 2021","4.5","4.3","4.3","11.6","4.0","7.7","4.2","5.7",
"Nov 2021","4.2","3.9","3.9","10.9","3.7","6.5","3.8","5.2",
"Dec 2021","3.9","3.6","3.6","11.0","3.3","7.0","3.8","4.8",
"Jan 2022","4.0","3.8","3.6","10.9","3.4","6.9","3.5","4.9",
"Feb 2022","3.8","3.5","3.6","10.3","3.3","6.6","3.0","4.5",
"Mar 2022","3.6","3.4","3.3","10.1","3.2","6.2","2.8","4.2",
"Apr 2022","3.6","3.5","3.2","10.2","3.2","5.9","3.1","4.2",
"May 2022","3.6","3.4","3.4","10.5","3.2","6.2","2.4","4.4",
"Jun 2022","3.6","3.4","3.3","11.0","3.3","5.9","3.0","4.3",
"Jul 2022","3.5","3.2","3.1","11.4","3.1","6.0","2.6","4.0",
"Aug 2022","3.7","3.5","3.3","10.4","3.2","6.4","2.8","4.5",
"Sep 2022","3.5","3.3","3.1","11.3","3.1","5.9","2.5","3.9",
"Oct 2022","3.7","3.3","3.4","11.0","3.3","5.9","2.9","4.2",
"Nov 2022","3.6","3.3","3.3","11.3","3.3","5.7","2.6","4.0",
"Dec 2022","3.5","3.1","3.2","10.4","3.0","5.7","2.4","4.1",
"Jan 2023","3.4","3.2","3.1","10.3","3.1","5.4","2.8","4.5",
"Feb 2023","3.6","3.3","3.2","11.1","3.2","5.7","3.4","5.3",
"Mar 2023","3.5","3.4","3.1","9.8","3.2","5.0","2.8","4.6",
"Apr 2023","3.4","3.3","3.1","9.2","3.1","4.7","2.8","4.4",
"May 2023","3.7","3.5","3.3","10.3","3.3","5.6","2.9","4.0",
